;Types
NOVA_MEMREF
NOVA_OP
NOVA_IO
NOVA_MATH
NOVA_PC
ECLIPSE_MEMREF
ECLIPSE_OP
ECLIPSE_PC
ECLIPSE_STACK
EAGLE_IO
EAGLE_PC
EAGLE_OP
EAGLE_MEMREF
EAGLE_STACK
EAGLE_FPU
;
;Formats
DERR_FMT
IMM_MODE_2_WORD_FMT
IMM_ONEACC_FMT
IO_FLAGS_DEV_FMT
IO_TEST_DEV_FMT
LNDO_4_WORD_FMT
NOACC_MODE_2_WORD_FMT
NOACC_MODE_3_WORD_FMT
NOACC_MODE_IMM_IND_3_WORD_FMT
NOACC_MODE_IND_2_WORD_E_FMT
NOACC_MODE_IND_2_WORD_X_FMT
NOACC_MODE_IND_3_WORD_FMT
NOACC_MODE_IND_3_WORD_XCALL_FMT
NOACC_MODE_IND_4_WORD_FMT
NOVA_DATA_IO_FMT
NOVA_NOACC_EFF_ADDR_FMT
NOVA_ONEACC_EFF_ADDR_FMT
NOVA_TWOACC_MULT_OP_FMT
ONEACC_IMM_2_WORD_FMT
ONEACC_IMMWD_2_WORD_FMT
ONEACC_IMM_3_WORD_FMT
ONEACC_IMMDWD_3_WORD_FMT
ONEACC_MODE_2_WORD_E_FMT
ONEACC_MODE_2_WORD_X_B_FMT
ONEACC_MODE_3_WORD_FMT
ONEACC_MODE_IND_2_WORD_E_FMT
ONEACC_MODE_IND_2_WORD_X_FMT
ONEACC_MODE_IND_3_WORD_FMT
ONEACC_1_WORD_FMT
UNIQUE_1_WORD_FMT
UNIQUE_2_WORD_FMT
SPLIT_8BIT_DISP_FMT
THREE_WORD_DO_FMT
TWOACC_1_WORD_FMT
TWOACC_IMM_2_WORD_FMT
WSKB_FMT
;
;Instructions
SAVE,0xe7c8,0xffff,2,UNIQUE_2_WORD_FMT,ECLIPSE_STACK,0
SBI,0x8048,0x87ff,1,IMM_ONEACC_FMT,ECLIPSE_OP,0
SEX,0x8349,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
SGE,0x8248,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_PC,0
SGT,0x8208,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_PC,0
SKP,0x6700,0xff00,1,IO_TEST_DEV_FMT,NOVA_IO,0
SNB,0x85f8,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_PC,0
SNOVR,0xa7b9,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_PC,0
SPSR,0xa7a9,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_OP,0
SPTE,0xe729,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_OP,0
SSPT,0xe7d9,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_OP,0
STA,0x4000,0xe000,1,NOVA_ONEACC_EFF_ADDR_FMT,NOVA_MEMREF,0
STAFP,0xc679,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_STACK,0
STASB,0xc659,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_STACK,0
STASL,0xa679,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_STACK,0
STASP,0xa659,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_STACK,0
STATS,0x8659,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_STACK,0
STB,0x8608,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_OP,0
SUB,0x8500,0x8700,1,NOVA_TWOACC_MULT_OP_FMT,NOVA_OP,0
SZB,0x8488,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_PC,0
